site_id,NDBI,lat,long,collector,ID,date,time_start,time_end,collection_window,weather,temperature,humidity,time_of_first_coll,time_to_first_coll_minutes,spec_first_coll,Total_Ae.aegypti,Females_Ae.aegypti,Total_Ae.albopictus,Females_Ae.albopictus
FMT-202,2,-3.0873694,-60.0352944,E,E,4/1/2022,18:00,19:00,17:00-19:00,medium rain,26.2,87.8,,,,0,0,0,0
FMT-204,2,-3.087598,-60.035562,E,E,4/5/2022,6:01,7:01,6:00-9:00,medium cloud,25.5,92.5,6:17,18,Ae. albopictus,0,0,4,4
FMT-204,2,-3.087598,-60.035562,C,C,4/5/2022,9:00,10:00,9:00-10:00,clear,27.8,85.7,9:08,8,Ae. albopictus,1,0,6,5
FMT-204,2,-3.087598,-60.035562,F,F,4/5/2022,12:00,13:00,12:00-13:00,medium cloud,28.7,79.5,12:00,0,Ae. albopictus,1,1,2,1
FMT-204,2,-3.087598,-60.035562,F,F,4/5/2022,15:00,16:00,15:00-16:00,medium cloud,26.5,87.5,15:02,2,Ae. albopictus,0,0,6,6
FMT-204,2,-3.087598,-60.035562,E,E,4/5/2022,18:00,19:00,17:00-19:00,medium cloud,26.5,89.3,,,,0,0,0,0
FMT-104,1,-3.088342,-60.0353339,E,E,4/6/2022,6:00,7:00,6:00-9:00,heavy cloud,24.9,91.7,,,,0,0,0,0
FMT-104,1,-3.088342,-60.0353339,F,F,4/6/2022,9:00,10:00,9:00-10:00,light rain,28.3,89.4,9:36,36,Ps. Spp,0,0,0,0
FMT-104,1,-3.088342,-60.0353339,F,F,4/6/2022,12:00,13:00,12:00-13:00,rain,25.8,96.6,,,,0,0,0,0
FMT-101,1,,,E,E,,6:00,7:00,6:00-9:00,,,,6:03,3,Ae. albopictus,0,0,1,1
FMT-104,1,-3.088342,-60.0353339,E,E,4/6/2022,18:00,19:00,17:00-19:00,clear,25.2,95.4,,,,0,0,0,0
FMT-304,3,-3.087204,-60.034449,E,E,4/7/2022,6:00,7:00,6:00-9:00,light cloud,24.9,91.5,6:58,58,Culex. Spp,1,0,0,0
FMT-304,3,-3.087204,-60.034449,E,E,4/7/2022,9:00,10:00,9:00-10:00,medium cloud,29,74.8,9:04,4,Ae. aegypti,2,2,0,0
FMT-304,3,-3.087204,-60.034449,F,F,4/7/2022,12:00,13:00,12:00-13:00,medium cloud,36.7,45.1,,,,0,0,0,0
FMT-304,3,-3.087204,-60.034449,E,E,4/7/2022,15:00,16:00,15:00-16:00,heavy cloud,30.3,70.8,,,,1,0,0,0
FMT-304,3,-3.087204,-60.034449,E,E,4/7/2022,18:00,19:00,17:00-19:00,clear,27.8,79.8,18:12,12,Ae. aegypti,4,1,0,0
FMT-302,3,-3.0867416,-60.0346972,E,E,4/8/2022,6:00,7:00,6:00-9:00,light cloud,,,,,,0,0,0,0
FMT-302,3,-3.0867416,-60.0346972,E,E,4/8/2022,9:00,10:00,9:00-10:00,light cloud,23.3,74.4,,,,0,0,0,0
FMT-302,3,-3.0867416,-60.0346972,F,F,4/8/2022,12:00,13:00,12:00-13:00,heavy rain,24.2,53.3,,,,0,0,0,0
FMT-302,3,-3.0867416,-60.0346972,A,A,4/8/2022,15:00,16:00,15:00-16:00,light rain,24.9,82.9,,,,0,0,0,0
FMT-302,3,-3.0867416,-60.0346972,A,A,4/8/2022,18:00,19:00,17:00-19:00,medium cloud,24,94.9,18:18,18,Culex. Spp,0,0,0,0
FMT-103,1,-3.0886416,-60.0352283,E,E,4/11/2022,6:00,7:00,6:00-9:00,light cloud,,,,,,0,0,0,0
FMT-103,1,-3.0886416,-60.0352283,A,A,4/11/2022,9:00,10:00,9:00-10:00,light cloud,37.4,61.2,,,,0,0,0,0
FMT-103,1,-3.0886416,-60.0352283,A,A,4/11/2022,12:00,13:00,12:00-13:00,clear,43,41.9,,,,0,0,0,0
FMT-103,1,-3.0886416,-60.0352283,F,F,4/11/2022,15:00,16:00,15:00-16:00,light cloud,29.3,62.1,,,,0,0,0,0
FMT-103,1,-3.0886416,-60.0352283,E,E,4/11/2022,18:00,19:00,17:00-19:00,light cloud,27.5,66.9,,,,0,0,0,0
FMT-301,3,-3.087265,-60.03446,C,C,4/12/2022,6:00,7:00,6:00-9:00,light cloud,25.2,95.5,6:30,30,Ae. aegypti,1,1,0,0
